,site,latitude,longitude,site_area,year_of_origin,site_shape,tree,species,angle,radius,year,has_any_damage,dead,snag,log,dbh,ba,height,crown_height,crown_width,category,site_type
15543,VA401,61.85789167,24.23838333,1600,1803,Circular,87,2,153,2065,2019,TRUE,TRUE,TRUE,FALSE,7.393916418,42.93771759,NA,NA,NA,3,3
5229,VA401,61.85789167,24.23838333,1600,1803,Circular,88,4,166,1945,1993,FALSE,FALSE,NA,NA,26.12891119,536.2070341,243,149,NA,1,3
10268,VA401,61.85789167,24.23838333,1600,1803,Circular,88,4,166,1945,2006,TRUE,FALSE,FALSE,FALSE,28.53681832,639.5889944,262,156,NA,1,3
15544,VA401,61.85789167,24.23838333,1600,1803,Circular,88,4,166,1945,2019,FALSE,FALSE,FALSE,FALSE,30.82855819,746.4424145,266,183,200,1,3
5230,VA401,61.85789167,24.23838333,1600,1803,Circular,89,2,165,1905,1993,FALSE,FALSE,NA,NA,23.12141864,419.8738582,177,43,NA,1,3
10269,VA401,61.85789167,24.23838333,1600,1803,Circular,89,2,165,1905,2006,FALSE,FALSE,NA,NA,23.4742412,432.785804,186,68,NA,1,3
15545,VA401,61.85789167,24.23838333,1600,1803,Circular,89,2,165,1905,2019,FALSE,FALSE,FALSE,FALSE,24.46548589,470.1079247,197,146,145,1,3
5231,VA401,61.85789167,24.23838333,1600,1803,Circular,90,2,172,1940,1993,FALSE,FALSE,NA,NA,22.8499453,410.0720891,NA,NA,NA,1,3
10270,VA401,61.85789167,24.23838333,1600,1803,Circular,90,2,172,1940,2006,FALSE,FALSE,NA,NA,23.74994737,443.011688,NA,NA,NA,1,3
15546,VA401,61.85789167,24.23838333,1600,1803,Circular,90,2,172,1940,2019,TRUE,TRUE,FALSE,TRUE,23.74994737,443.011688,NA,NA,NA,3,3
5232,VA401,61.85789167,24.23838333,1600,1803,Circular,91,2,172,1840,1993,FALSE,FALSE,NA,NA,18.94676753,281.9422327,181,105,NA,1,3
10271,VA401,61.85789167,24.23838333,1600,1803,Circular,91,2,172,1840,2006,FALSE,FALSE,NA,NA,19.89974874,311.0176727,204,110,NA,1,3
15547,VA401,61.85789167,24.23838333,1600,1803,Circular,91,2,172,1840,2019,FALSE,FALSE,FALSE,FALSE,20.949463,344.695546,222,130,200,1,3
5233,VA401,61.85789167,24.23838333,1600,1803,Circular,92,2,166,1590,1993,FALSE,FALSE,NA,NA,13.6491758,146.3196778,NA,NA,NA,1,3
10272,VA401,61.85789167,24.23838333,1600,1803,Circular,92,2,166,1590,2006,TRUE,TRUE,TRUE,FALSE,13.29661611,138.8583953,NA,NA,NA,3,3
15548,VA401,61.85789167,24.23838333,1600,1803,Circular,92,2,166,1590,2019,TRUE,TRUE,TRUE,FALSE,13.29661611,138.8583953,NA,NA,NA,3,3
5234,VA401,61.85789167,24.23838333,1600,1803,Circular,93,2,164,1575,1993,FALSE,FALSE,NA,NA,15.93235701,199.3654698,NA,NA,NA,1,3
10273,VA401,61.85789167,24.23838333,1600,1803,Circular,93,2,164,1575,2006,FALSE,FALSE,NA,NA,16.38902072,210.9579467,NA,NA,NA,1,3
15549,VA401,61.85789167,24.23838333,1600,1803,Circular,93,2,164,1575,2019,TRUE,TRUE,FALSE,TRUE,16.34074662,209.7170176,NA,NA,NA,3,3
5235,VA401,61.85789167,24.23838333,1600,1803,Circular,94,2,178,1360,1993,FALSE,FALSE,NA,NA,23.03432222,416.7165575,NA,NA,NA,1,3
10274,VA401,61.85789167,24.23838333,1600,1803,Circular,94,2,178,1360,2006,FALSE,FALSE,NA,NA,24.2899156,463.3849164,NA,NA,NA,1,3
15550,VA401,61.85789167,24.23838333,1600,1803,Circular,94,2,178,1360,2019,FALSE,FALSE,FALSE,FALSE,25.64995127,516.7291597,NA,NA,NA,1,3
5236,VA401,61.85789167,24.23838333,1600,1803,Circular,95,2,183,1415,1993,FALSE,FALSE,NA,NA,20.34698995,325.1548396,NA,NA,NA,1,3
10275,VA401,61.85789167,24.23838333,1600,1803,Circular,95,2,183,1415,2006,FALSE,FALSE,NA,NA,20.79903844,339.7632455,NA,NA,NA,1,3
15551,VA401,61.85789167,24.23838333,1600,1803,Circular,95,2,183,1415,2019,TRUE,TRUE,FALSE,TRUE,21.3,356.3272928,NA,NA,NA,3,3
5237,VA401,61.85789167,24.23838333,1600,1803,Circular,96,4,182,1735,1993,FALSE,FALSE,NA,NA,19.58366666,301.2159036,NA,NA,NA,1,3
10276,VA401,61.85789167,24.23838333,1600,1803,Circular,96,4,182,1735,2006,TRUE,TRUE,FALSE,TRUE,18.94201679,281.800861,NA,NA,NA,3,3
